@@Smileys & Emotion
1F62D	loudly crying face
1F631	face screaming in fear
1F616	confounded face
1F623	persevering face
1F61E	disappointed face
1F613	downcast face with sweat
1F629	weary face
1F62B	tired face
1F971	yawning face
@face-negative
1F624	face with steam from nose
1F621	enraged face
1F620	angry face
1F92C	face with symbols on mouth
1F608	smiling face with horns
1F47F	angry face with horns
1F480	skull
2620	skull and crossbones
@face-costume
1F4A9	pile of poo
1F921	clown face
1F479	ogre
1F47A	goblin
1F47B	ghost
1F47D	alien
1F47E	alien monster
1F916	robot
@cat-face
1F63A	grinning cat
1F638	grinning cat with smiling eyes
1F639	cat with tears of joy
1F63B	smiling cat with heart-eyes
1F63C	cat with wry smile
1F63D	kissing cat
1F640	weary cat
1F63F	crying cat
1F63E	pouting cat
@monkey-face
1F648	see-no-evil monkey
1F649	hear-no-evil monkey
1F64A	speak-no-evil monkey
@heart
1F48C	love letter
1F498	heart with arrow
1F49D	heart with ribbon
1F496	sparkling heart
1F497	growing heart
1F493	beating heart
1F49E	revolving hearts
1F495	two hearts
1F49F	heart decoration
2763	heart exclamation
1F494	broken heart
2764 FE0F 200D 1F525	heart on fire
2764 FE0F 200D 1FA79	mending heart
2764	red heart
1FA77	pink heart
1F9E1	orange heart
1F49B	yellow heart
1F49A	green heart
1F499	blue heart
1FA75	light blue heart
1F49C	purple heart
1F90E	brown heart
1F5A4	black heart
1FA76	grey heart
1F90D	white heart
@emotion
1F48B	kiss mark
1F4AF	hundred points
1F4A2	anger symbol
1F4A5	collision
1F4AB	dizzy
1F4A6	sweat droplets
1F4A8	dashing away
1F573	hole
1F4AC	speech balloon
1F441 FE0F 200D 1F5E8 FE0F	eye in speech bubble
1F5E8	left speech bubble
1F5EF	right anger bubble
1F4AD	thought balloon
1F4A4	ZZZ
@@People & Body
@hand-fingers-open
1F44B	waving hand
1F91A	raised back of hand
1F590	hand with fingers splayed
270B	raised hand
1F596	vulcan salute
1FAF1	rightwards hand
1FAF2	leftwards hand
1FAF3	palm down hand
1FAF4	palm up hand
1FAF7	leftwards pushing hand
1FAF8	rightwards pushing hand
@hand-fingers-partial
1F44C	OK hand
1F90C	pinched fingers
1F90F	pinching hand
270C	victory hand
1F91E	crossed fingers
1FAF0	hand with index finger and thumb crossed
1F91F	love-you gesture
1F918	sign of the horns
1F919	call me hand
@hand-single-finger
1F448	backhand index pointing left
1F449	backhand index pointing right
1F446	backhand index pointing up
1F595	middle finger
1F447	backhand index pointing down
261D	index pointing up
1FAF5	index pointing at the viewer
@hand-fingers-closed
1F44D	thumbs up
1F44E	thumbs down
270A	raised fist
1F44A	oncoming fist
1F91B	left-facing fist
1F91C	right-facing fist
@hands
1F44F	clapping hands
1F64C	raising hands
1FAF6	heart hands
1F450	open hands
1F932	palms up together
1F91D	handshake
1F64F	folded hands
@hand-prop
270D	writing hand
1F485	nail polish
1F933	selfie
@body-parts
1F4AA	flexed biceps
1F9BE	mechanical arm
1F9BF	mechanical leg
1F9B5	leg
1F9B6	foot
1F442	ear
1F9BB	ear with hearing aid
1F443	nose
1F9E0	brain
1FAC0	anatomical heart
1FAC1	lungs
1F9B7	tooth
1F9B4	bone
1F440	eyes
1F441	eye
1F445	tongue
1F444	mouth
1FAE6	biting lip
@person
1F476	baby
1F9D2	child
1F466	boy
1F467	girl
1F9D1	person
1F471	person: blond hair
1F468	man
1F9D4	person: beard
1F9D4 200D 2642 FE0F	man: beard
1F9D4 200D 2640 FE0F	woman: beard
1F468 200D 1F9B0	man: red hair
1F468 200D 1F9B1	man: curly hair
1F468 200D 1F9B3	man: white hair
1F468 200D 1F9B2	man: bald
1F469	woman
1F469 200D 1F9B0	woman: red hair
1F9D1 200D 1F9B0	person: red hair
1F469 200D 1F9B1	woman: curly hair
1F9D1 200D 1F9B1	person: curly hair
1F469 200D 1F9B3	woman: white hair
1F9D1 200D 1F9B3	person: white hair
1F469 200D 1F9B2	woman: bald
1F9D1 200D 1F9B2	person: bald
1F471 200D 2640 FE0F	woman: blond hair
1F471 200D 2642 FE0F	man: blond hair
1F9D3	older person
1F474	old man
1F475	old woman
@person-gesture
1F64D	person frowning
1F64D 200D 2642 FE0F	man frowning
1F64D 200D 2640 FE0F	woman frowning
1F64E	person pouting
1F64E 200D 2642 FE0F	man pouting
1F64E 200D 2640 FE0F	woman pouting
1F645	person gesturing NO
1F645 200D 2642 FE0F	man gesturing NO
1F645 200D 2640 FE0F	woman gesturing NO
1F646	person gesturing OK
1F646 200D 2642 FE0F	man gesturing OK
1F646 200D 2640 FE0F	woman gesturing OK
1F481	person tipping hand
1F481 200D 2642 FE0F	man tipping hand
1F481 200D 2640 FE0F	woman tipping hand
1F64B	person raising hand
1F64B 200D 2642 FE0F	man raising hand
1F64B 200D 2640 FE0F	woman raising hand
1F9CF	deaf person
1F9CF 200D 2642 FE0F	deaf man
1F9CF 200D 2640 FE0F	deaf woman
1F647	person bowing
1F647 200D 2642 FE0F	man bowing
1F647 200D 2640 FE0F	woman bowing
1F926	person facepalming
1F926 200D 2642 FE0F	man facepalming
1F926 200D 2640 FE0F	woman facepalming
1F937	person shrugging
1F937 200D 2642 FE0F	man shrugging
1F937 200D 2640 FE0F	woman shrugging
@person-role
1F9D1 200D 2695 FE0F	health worker
1F468 200D 2695 FE0F	man health worker
1F469 200D 2695 FE0F	woman health worker
1F9D1 200D 1F393	student
1F468 200D 1F393	man student
1F469 200D 1F393	woman student
1F9D1 200D 1F3EB	teacher
1F468 200D 1F3EB	man teacher
1F469 200D 1F3EB	woman teacher
1F9D1 200D 2696 FE0F	judge
1F468 200D 2696 FE0F	man judge
1F469 200D 2696 FE0F	woman judge
1F9D1 200D 1F33E	farmer
1F468 200D 1F33E	man farmer
1F469 200D 1F33E	woman farmer
1F9D1 200D 1F373	cook
1F468 200D 1F373	man cook
1F469 200D 1F373	woman cook
1F9D1 200D 1F527	mechanic
1F468 200D 1F527	man mechanic
1F469 200D 1F527	woman mechanic
1F9D1 200D 1F3ED	factory worker
1F468 200D 1F3ED	man factory worker
1F469 200D 1F3ED	woman factory worker
1F9D1 200D 1F4BC	office worker
1F468 200D 1F4BC	man office worker
1F469 200D 1F4BC	woman office worker
1F9D1 200D 1F52C	scientist
1F468 200D 1F52C	man scientist
1F469 200D 1F52C	woman scientist
1F9D1 200D 1F4BB	technologist
1F468 200D 1F4BB	man technologist
1F469 200D 1F4BB	woman technologist
1F9D1 200D 1F3A4	singer
1F468 200D 1F3A4	man singer
1F469 200D 1F3A4	woman singer
1F9D1 200D 1F3A8	artist
1F468 200D 1F3A8	man artist
1F469 200D 1F3A8	woman artist
1F9D1 200D 2708 FE0F	pilot
1F468 200D 2708 FE0F	man pilot
1F469 200D 2708 FE0F	woman pilot
1F9D1 200D 1F680	astronaut
1F468 200D 1F680	man astronaut
1F469 200D 1F680	woman astronaut
1F9D1 200D 1F692	firefighter
1F468 200D 1F692	man firefighter
1F469 200D 1F692	woman firefighter
1F46E	police officer
1F46E 200D 2642 FE0F	man police officer
1F46E 200D 2640 FE0F	woman police officer
1F575	detective
1F575 FE0F 200D 2642 FE0F	man detective
1F575 FE0F 200D 2640 FE0F	woman detective
1F482	guard
1F482 200D 2642 FE0F	man guard
1F482 200D 2640 FE0F	woman guard
1F977	ninja
1F477	construction worker
1F477 200D 2642 FE0F	man construction worker
1F477 200D 2640 FE0F	woman construction worker
1FAC5	person with crown
1F934	prince
1F478	princess
1F473	person wearing turban
1F473 200D 2642 FE0F	man wearing turban
1F473 200D 2640 FE0F	woman wearing turban
1F472	person with skullcap
1F9D5	woman with headscarf
1F935	person in tuxedo
1F935 200D 2642 FE0F	man in tuxedo
1F935 200D 2640 FE0F	woman in tuxedo
1F470	person with veil
1F470 200D 2642 FE0F	man with veil
1F470 200D 2640 FE0F	woman with veil
1F930	pregnant woman
1FAC3	pregnant man
1FAC4	pregnant person
1F931	breast-feeding
1F469 200D 1F37C	woman feeding baby
1F468 200D 1F37C	man feeding baby
1F9D1 200D 1F37C	person feeding baby
@person-fantasy
1F47C	baby angel
1F385	Santa Claus
1F936	Mrs. Claus
1F9D1 200D 1F384	mx claus
1F9B8	superhero
1F9B8 200D 2642 FE0F	man superhero
1F9B8 200D 2640 FE0F	woman superhero
1F9B9	supervillain
1F9B9 200D 2642 FE0F	man supervillain
1F9B9 200D 2640 FE0F	woman supervillain
1F9D9	mage
1F9D9 200D 2642 FE0F	man mage
1F9D9 200D 2640 FE0F	woman mage
1F9DA	fairy
1F9DA 200D 2642 FE0F	man fairy
1F9DA 200D 2640 FE0F	woman fairy
1F9DB	vampire
1F9DB 200D 2642 FE0F	man vampire
1F9DB 200D 2640 FE0F	woman vampire
1F9DC	merperson
1F9DC 200D 2642 FE0F	merman
1F9DC 200D 2640 FE0F	mermaid
1F9DD	elf
1F9DD 200D 2642 FE0F	man elf
1F9DD 200D 2640 FE0F	woman elf
1F9DE	genie
1F9DE 200D 2642 FE0F	man genie
1F9DE 200D 2640 FE0F	woman genie
1F9DF	zombie
1F9DF 200D 2642 FE0F	man zombie
1F9DF 200D 2640 FE0F	woman zombie
1F9CC	troll
@person-activity
1F486	person getting massage
1F486 200D 2642 FE0F	man getting massage
1F486 200D 2640 FE0F	woman getting massage
1F487	person getting haircut
1F487 200D 2642 FE0F	man getting haircut
1F487 200D 2640 FE0F	woman getting haircut
1F6B6	person walking
1F6B6 200D 2642 FE0F	man walking
1F6B6 200D 2640 FE0F	woman walking
1F6B6 200D 27A1 FE0F	person walking facing right
1F6B6 200D 2640 FE0F 200D 27A1 FE0F	woman walking facing right
1F6B6 200D 2642 FE0F 200D 27A1 FE0F	man walking facing right
1F9CD	person standing
1F9CD 200D 2642 FE0F	man standing
1F9CD 200D 2640 FE0F	woman standing
1F9CE	person kneeling
1F9CE 200D 2642 FE0F	man kneeling
1F9CE 200D 2640 FE0F	woman kneeling
1F9CE 200D 27A1 FE0F	person kneeling facing right
1F9CE 200D 2640 FE0F 200D 27A1 FE0F	woman kneeling facing right
1F9CE 200D 2642 FE0F 200D 27A1 FE0F	man kneeling facing right
1F9D1 200D 1F9AF	person with white cane
1F9D1 200D 1F9AF 200D 27A1 FE0F	person with white cane facing right
1F468 200D 1F9AF	man with white cane
1F468 200D 1F9AF 200D 27A1 FE0F	man with white cane facing right
1F469 200D 1F9AF	woman with white cane
1F469 200D 1F9AF 200D 27A1 FE0F	woman with white cane facing right
1F9D1 200D 1F9BC	person in motorized wheelchair
1F9D1 200D 1F9BC 200D 27A1 FE0F	person in motorized wheelchair facing right
1F468 200D 1F9BC	man in motorized wheelchair
1F468 200D 1F9BC 200D 27A1 FE0F	man in motorized wheelchair facing right
1F469 200D 1F9BC	woman in motorized wheelchair
1F469 200D 1F9BC 200D 27A1 FE0F	woman in motorized wheelchair facing right
1F9D1 200D 1F9BD	person in manual wheelchair
1F9D1 200D 1F9BD 200D 27A1 FE0F	person in manual wheelchair facing right
1F468 200D 1F9BD	man in manual wheelchair
1F468 200D 1F9BD 200D 27A1 FE0F	man in manual wheelchair facing right
1F469 200D 1F9BD	woman in manual wheelchair
1F469 200D 1F9BD 200D 27A1 FE0F	woman in manual wheelchair facing right
1F3C3	person running
1F3C3 200D 2642 FE0F	man running
1F3C3 200D 2640 FE0F	woman running
1F3C3 200D 27A1 FE0F	person running facing right
1F3C3 200D 2640 FE0F 200D 27A1 FE0F	woman running facing right
1F3C3 200D 2642 FE0F 200D 27A1 FE0F	man running facing right
1F483	woman dancing
1F57A	man dancing
1F574	person in suit levitating
1F46F	people with bunny ears
1F46F 200D 2642 FE0F	men with bunny ears
1F46F 200D 2640 FE0F	women with bunny ears
1F9D6	person in steamy room
1F9D6 200D 2642 FE0F	man in steamy room
1F9D6 200D 2640 FE0F	woman in steamy room
1F9D7	person climbing
1F9D7 200D 2642 FE0F	man climbing
1F9D7 200D 2640 FE0F	woman climbing
@person-sport
1F93A	person fencing
1F3C7	horse racing
26F7	skier
1F3C2	snowboarder
1F3CC	person golfing
1F3CC FE0F 200D 2642 FE0F	man golfing
1F3CC FE0F 200D 2640 FE0F	woman golfing
1F3C4	person surfing
1F3C4 200D 2642 FE0F	man surfing
1F3C4 200D 2640 FE0F	woman surfing
1F6A3	person rowing boat
1F6A3 200D 2642 FE0F	man rowing boat
1F6A3 200D 2640 FE0F	woman rowing boat
1F3CA	person swimming
1F3CA 200D 2642 FE0F	man swimming
1F3CA 200D 2640 FE0F	woman swimming
26F9	person bouncing ball
26F9 FE0F 200D 2642 FE0F	man bouncing ball
26F9 FE0F 200D 2640 FE0F	woman bouncing ball
1F3CB	person lifting weights
1F3CB FE0F 200D 2642 FE0F	man lifting weights
1F3CB FE0F 200D 2640 FE0F	woman lifting weights
1F6B4	person biking
1F6B4 200D 2642 FE0F	man biking
1F6B4 200D 2640 FE0F	woman biking
1F6B5	person mountain biking
1F6B5 200D 2642 FE0F	man mountain biking
1F6B5 200D 2640 FE0F	woman mountain biking
1F938	person cartwheeling
1F938 200D 2642 FE0F	man cartwheeling
1F938 200D 2640 FE0F	woman cartwheeling
1F93C	people wrestling
1F93C 200D 2642 FE0F	men wrestling
1F93C 200D 2640 FE0F	women wrestling
1F93D	person playing water polo
1F93D 200D 2642 FE0F	man playing water polo
1F93D 200D 2640 FE0F	woman playing water polo
1F93E	person playing handball
1F93E 200D 2642 FE0F	man playing handball
1F93E 200D 2640 FE0F	woman playing handball
1F939	person juggling
1F939 200D 2642 FE0F	man juggling
1F939 200D 2640 FE0F	woman juggling
@person-resting
1F9D8	person in lotus position
1F9D8 200D 2642 FE0F	man in lotus position
1F9D8 200D 2640 FE0F	woman in lotus position
1F6C0	person taking bath
1F6CC	person in bed
@family
1F9D1 200D 1F91D 200D 1F9D1	people holding hands
1F46D	women holding hands
1F46B	woman and man holding hands
1F46C	men holding hands
1F48F	kiss
1F469 200D 2764 FE0F 200D 1F48B 200D 1F468	kiss: woman, man
1F468 200D 2764 FE0F 200D 1F48B 200D 1F468	kiss: man, man
1F469 200D 2764 FE0F 200D 1F48B 200D 1F469	kiss: woman, woman
1F491	couple with heart
1F469 200D 2764 FE0F 200D 1F468	couple with heart: woman, man
1F468 200D 2764 FE0F 200D 1F468	couple with heart: man, man
1F469 200D 2764 FE0F 200D 1F469	couple with heart: woman, woman
1F468 200D 1F469 200D 1F466	family: man, woman, boy
1F468 200D 1F469 200D 1F467	family: man, woman, girl
1F468 200D 1F469 200D 1F467 200D 1F466	family: man, woman, girl, boy
1F468 200D 1F469 200D 1F466 200D 1F466	family: man, woman, boy, boy
1F468 200D 1F469 200D 1F467 200D 1F467	family: man, woman, girl, girl
1F468 200D 1F468 200D 1F466	family: man, man, boy
1F468 200D 1F468 200D 1F467	family: man, man, girl
1F468 200D 1F468 200D 1F467 200D 1F466	family: man, man, girl, boy
1F468 200D 1F468 200D 1F466 200D 1F466	family: man, man, boy, boy
1F468 200D 1F468 200D 1F467 200D 1F467	family: man, man, girl, girl
1F469 200D 1F469 200D 1F466	family: woman, woman, boy
1F469 200D 1F469 200D 1F467	family: woman, woman, girl
1F469 200D 1F469 200D 1F467 200D 1F466	family: woman, woman, girl, boy
1F469 200D 1F469 200D 1F466 200D 1F466	family: woman, woman, boy, boy
1F469 200D 1F469 200D 1F467 200D 1F467	family: woman, woman, girl, girl
1F468 200D 1F466	family: man, boy
1F468 200D 1F466 200D 1F466	family: man, boy, boy
1F468 200D 1F467	family: man, girl
1F468 200D 1F467 200D 1F466	family: man, girl, boy
1F468 200D 1F467 200D 1F467	family: man, girl, girl
1F469 200D 1F466	family: woman, boy
1F469 200D 1F466 200D 1F466	family: woman, boy, boy
1F469 200D 1F467	family: woman, girl
1F469 200D 1F467 200D 1F466	family: woman, girl, boy
1F469 200D 1F467 200D 1F467	family: woman, girl, girl
@person-symbol
1F5E3	speaking head
1F464	bust in silhouette
1F465	busts in silhouette
1FAC2	people hugging
1F46A	family
1F9D1 200D 1F9D1 200D 1F9D2	family: adult, adult, child
1F9D1 200D 1F9D1 200D 1F9D2 200D 1F9D2	family: adult, adult, child, child
1F9D1 200D 1F9D2	family: adult, child
1F9D1 200D 1F9D2 200D 1F9D2	family: adult, child, child
1F463	footprints
@@Component
@hair-style
1F9B0	red hair
1F9B1	curly hair
1F9B3	white hair
1F9B2	bald
@@Animals & Nature
@animal-mammal
1F435	monkey face
1F412	monkey
1F98D	gorilla
1F9A7	orangutan
1F436	dog face
1F415	dog
1F9AE	guide dog
1F415 200D 1F9BA	service dog
1F429	poodle
1F43A	wolf
1F98A	fox
1F99D	raccoon
1F431	cat face
1F408	cat
1F408 200D 2B1B	black cat
1F981	lion
1F42F	tiger face
1F405	tiger
1F406	leopard
1F434	horse face
1FACE	moose
1FACF	donkey
1F40E	horse
1F984	unicorn
1F993	zebra
1F98C	deer
1F9AC	bison
1F42E	cow face
1F402	ox
1F403	water buffalo
1F404	cow
1F437	pig face
1F416	pig
1F417	boar
1F43D	pig nose
1F40F	ram
1F411	ewe
1F410	goat
1F42A	camel
1F42B	two-hump camel
1F999	llama
1F992	giraffe
1F418	elephant
1F9A3	mammoth
1F98F	rhinoceros
1F99B	hippopotamus
1F42D	mouse face
1F401	mouse
1F400	rat
1F439	hamster
1F430	rabbit face
1F407	rabbit
1F43F	chipmunk
1F9AB	beaver
1F994	hedgehog
1F987	bat
1F43B	bear
1F43B 200D 2744 FE0F	polar bear
1F428	koala
1F43C	panda
1F9A5	sloth
1F9A6	otter
1F9A8	skunk
1F998	kangaroo
1F9A1	badger
1F43E	paw prints
@animal-bird
1F983	turkey
1F414	chicken
1F413	rooster
1F423	hatching chick
1F424	baby chick
1F425	front-facing baby chick
1F426	bird
1F427	penguin
1F54A	dove
1F985	eagle
1F986	duck
1F9A2	swan
1F989	owl
1F9A4	dodo
1FAB6	feather
1F9A9	flamingo
1F99A	peacock
1F99C	parrot
1FABD	wing
1F426 200D 2B1B	black bird
1FABF	goose
1F426 200D 1F525	phoenix
@animal-amphibian
1F438	frog
@animal-reptile
1F40A	crocodile
1F422	turtle
1F98E	lizard
1F40D	snake
1F432	dragon face
1F409	dragon
1F995	sauropod
1F996	T-Rex
@animal-marine
1F433	spouting whale
1F40B	whale
1F42C	dolphin
1F9AD	seal
1F41F	fish
1F420	tropical fish
1F421	blowfish
1F988	shark
1F419	octopus
1F41A	spiral shell
1FAB8	coral
1FABC	jellyfish
@animal-bug
1F40C	snail
1F98B	butterfly
1F41B	bug
1F41C	ant
1F41D	honeybee
1FAB2	beetle
1F41E	lady beetle
1F997	cricket
1FAB3	cockroach
1F577	spider
1F578	spider web
1F982	scorpion
1F99F	mosquito
1FAB0	fly
1FAB1	worm
1F9A0	microbe
@plant-flower
1F490	bouquet
1F338	cherry blossom
1F4AE	white flower
1FAB7	lotus
1F3F5	rosette
1F339	rose
1F940	wilted flower
1F33A	hibiscus
1F33B	sunflower
1F33C	blossom
1F337	tulip
1FABB	hyacinth
@plant-other
1F331	seedling
1FAB4	potted plant
1F332	evergreen tree
1F333	deciduous tree
1F334	palm tree
1F335	cactus
1F33E	sheaf of rice
1F33F	herb
2618	shamrock
1F340	four leaf clover
1F341	maple leaf
1F342	fallen leaf
1F343	leaf fluttering in wind
1FAB9	empty nest
1FABA	nest with eggs
1F344	mushroom
@@Food & Drink
@food-fruit
1F347	grapes
1F348	melon
1F349	watermelon
1F34A	tangerine
1F34B	lemon
1F34B 200D 1F7E9	lime
1F34C	banana
1F34D	pineapple
1F96D	mango
1F34E	red apple
1F34F	green apple
1F350	pear
1F351	peach
1F352	cherries
1F353	strawberry
1FAD0	blueberries
1F95D	kiwi fruit
1F345	tomato
1FAD2	olive
1F965	coconut
@food-vegetable
1F951	avocado
1F346	eggplant
1F954	potato
1F955	carrot
1F33D	ear of corn
1F336	hot pepper
1FAD1	bell pepper
1F952	cucumber
1F96C	leafy green
1F966	broccoli
1F9C4	garlic
1F9C5	onion
1F95C	peanuts
1FAD8	beans
1F330	chestnut
1FADA	ginger root
1FADB	pea pod
1F344 200D 1F7EB	brown mushroom
@food-prepared
1F35E	bread
1F950	croissant
1F956	baguette bread
1FAD3	flatbread
1F968	pretzel
1F96F	bagel
1F95E	pancakes
1F9C7	waffle
1F9C0	cheese wedge
1F356	meat on bone
1F357	poultry leg
1F969	cut of meat
1F953	bacon
1F354	hamburger
1F35F	french fries
1F355	pizza
1F32D	hot dog
1F96A	sandwich
1F32E	taco
1F32F	burrito
1FAD4	tamale
1F959	stuffed flatbread
1F9C6	falafel
1F95A	egg
1F373	cooking
1F958	shallow pan of food
1F372	pot of food
1FAD5	fondue
1F963	bowl with spoon
1F957	green salad
1F37F	popcorn
1F9C8	butter
1F9C2	salt
1F96B	canned food
@food-asian
1F371	bento box
1F358	rice cracker
1F359	rice ball
1F35A	cooked rice
1F35B	curry rice
1F35C	steaming bowl
1F35D	spaghetti
1F360	roasted sweet potato
1F362	oden
1F363	sushi
1F364	fried shrimp
1F365	fish cake with swirl
1F96E	moon cake
1F361	dango
1F95F	dumpling
1F960	fortune cookie
1F961	takeout box
@food-marine
1F980	crab
1F99E	lobster
1F990	shrimp
1F991	squid
1F9AA	oyster
@food-sweet
1F366	soft ice cream
1F367	shaved ice
1F368	ice cream
1F369	doughnut
1F36A	cookie
1F382	birthday cake
1F370	shortcake
1F9C1	cupcake
1F967	pie
1F36B	chocolate bar
1F36C	candy
1F36D	lollipop
1F36E	custard
1F36F	honey pot
@drink
1F37C	baby bottle
1F95B	glass of milk
2615	hot beverage
1FAD6	teapot
1F375	teacup without handle
1F376	sake
1F37E	bottle with popping cork
1F377	wine glass
1F378	cocktail glass
1F379	tropical drink
1F37A	beer mug
1F37B	clinking beer mugs
1F942	clinking glasses
1F943	tumbler glass
1FAD7	pouring liquid
1F964	cup with straw
1F9CB	bubble tea
1F9C3	beverage box
1F9C9	mate
1F9CA	ice
@dishware
1F962	chopsticks
1F37D	fork and knife with plate
1F374	fork and knife
1F944	spoon
1F52A	kitchen knife
1FAD9	jar
1F3FA	amphora
@@Travel & Places
@place-map
1F30D	globe showing Europe-Africa
1F30E	globe showing Americas
1F30F	globe showing Asia-Australia
1F310	globe with meridians
1F5FA	world map
1F5FE	map of Japan
1F9ED	compass
@place-geographic
1F3D4	snow-capped mountain
26F0	mountain
1F30B	volcano
1F5FB	mount fuji
1F3D5	camping
1F3D6	beach with umbrella
1F3DC	desert
1F3DD	desert island
1F3DE	national park
@place-building
1F3DF	stadium
1F3DB	classical building
1F3D7	building construction
1F9F1	brick
1FAA8	rock
1FAB5	wood
1F6D6	hut
1F3D8	houses
1F3DA	derelict house
1F3E0	house
1F3E1	house with garden
1F3E2	office building
1F3E3	Japanese post office
1F3E4	post office
1F3E5	hospital
1F3E6	bank
1F3E8	hotel
1F3E9	love hotel
1F3EA	convenience store
1F3EB	school
1F3EC	department store
1F3ED	factory
1F3EF	Japanese castle
1F3F0	castle
1F492	wedding
1F5FC	Tokyo tower
1F5FD	Statue of Liberty
@place-religious
26EA	church
1F54C	mosque
1F6D5	hindu temple
1F54D	synagogue
26E9	shinto shrine
1F54B	kaaba
@place-other
26F2	fountain
26FA	tent
1F301	foggy
1F303	night with stars
1F3D9	cityscape
1F304	sunrise over mountains
1F305	sunrise
1F306	cityscape at dusk
1F307	sunset
1F309	bridge at night
2668	hot springs
1F3A0	carousel horse
1F6DD	playground slide
1F3A1	ferris wheel
1F3A2	roller coaster
1F488	barber pole
1F3AA	circus tent
@transport-ground
1F682	locomotive
1F683	railway car
1F684	high-speed train
1F685	bullet train
1F686	train
1F687	metro
1F688	light rail
1F689	station
1F68A	tram
1F69D	monorail
1F69E	mountain railway
1F68B	tram car
1F68C	bus
1F68D	oncoming bus
1F68E	trolleybus
1F690	minibus
1F691	ambulance
1F692	fire engine
1F693	police car
1F694	oncoming police car
1F695	taxi
1F696	oncoming taxi
1F697	automobile
1F698	oncoming automobile
1F699	sport utility vehicle
1F6FB	pickup truck
1F69A	delivery truck
1F69B	articulated lorry
1F69C	tractor
1F3CE	racing car
1F3CD	motorcycle
1F6F5	motor scooter
1F9BD	manual wheelchair
1F9BC	motorized wheelchair
1F6FA	auto rickshaw
1F6B2	bicycle
1F6F4	kick scooter
1F6F9	skateboard
1F6FC	roller skate
1F68F	bus stop
1F6E3	motorway
1F6E4	railway track
1F6E2	oil drum
26FD	fuel pump
1F6DE	wheel
1F6A8	police car light
1F6A5	horizontal traffic light
1F6A6	vertical traffic light
1F6D1	stop sign
1F6A7	construction
@transport-water
2693	anchor
1F6DF	ring buoy
26F5	sailboat
1F6F6	canoe
1F6A4	speedboat
1F6F3	passenger ship
26F4	ferry
1F6E5	motor boat
1F6A2	ship
@transport-air
2708	airplane
1F6E9	small airplane
1F6EB	airplane departure
1F6EC	airplane arrival
1FA82	parachute
1F4BA	seat
1F681	helicopter
1F69F	suspension railway
1F6A0	mountain cableway
1F6A1	aerial tramway
1F6F0	satellite
1F680	rocket
1F6F8	flying saucer
@hotel
1F6CE	bellhop bell
1F9F3	luggage
@time
231B	hourglass done
23F3	hourglass not done
231A	watch
23F0	alarm clock
23F1	stopwatch
23F2	timer clock
1F570	mantelpiece clock
1F55B	twelve o’clock
1F567	twelve-thirty
1F550	one o’clock
1F55C	one-thirty
1F551	two o’clock
1F55D	two-thirty
1F552	three o’clock
1F55E	three-thirty
1F553	four o’clock
1F55F	four-thirty
1F554	five o’clock
1F560	five-thirty
1F555	six o’clock
1F561	six-thirty
1F556	seven o’clock
